rankings_list,rankings_year,school_name,school_city,rank,tie,score,peer_score,lsat_25th,lsat_75th,acceptance_rate,enrollment
education/grad-school/law-part-time,2017,Georgetown University,"Washington, DC",1,false,100,4.2,157,168,0.058,242
education/grad-school/law-part-time,2017,George Washington University,"Washington, DC",2,false,80,3.6,152,163,0.236,209
education/grad-school/law-part-time,2017,Fordham University,"New York, NY",3,false,76,3.3,156,164,0.282,169
education/grad-school/law-part-time,2017,George Mason University,"Arlington, VA",4,true,66,2.8,157,163,0.144,153
education/grad-school/law-part-time,2017,University of Maryland (Carey),"Baltimore, MD",4,true,66,3.0,154,161,0.332,112
education/grad-school/law-part-time,2017,American University (Washington),"Washington, DC",6,true,62,2.9,151,158,0.472,242
education/grad-school/law-part-time,2017,Temple University (Beasley),"Philadelphia, PA",6,true,62,2.8,155,161,0.349,153
education/grad-school/law-part-time,2017,University of Houston,"Houston, TX",6,true,62,2.8,152,159,0.15,100
education/grad-school/law-part-time,2017,Loyola Marymount University,"Los Angeles, CA",9,false,59,2.7,155,160,0.263,167
education/grad-school/law-part-time,2017,University of Denver (Sturm),"Denver, CO",10,false,58,2.8,152,158,0.529,107
education/grad-school/law-part-time,2017,Georgia State University,"Atlanta, GA",11,true,57,2.6,153,158,0.21,179
education/grad-school/law-part-time,2017,University of Connecticut,"Hartford, CT",11,true,57,2.7,152,158,0.331,104
education/grad-school/law-part-time,2017,Lewis & Clark College (Northwestern),"Portland, OR",11,true,57,2.5,149,160,0.543,132
education/grad-school/law-part-time,2017,University of San Diego,"San Diego, CA",14,true,56,2.7,152,160,0.331,98
education/grad-school/law-part-time,2017,Loyola University Chicago,"Chicago, IL",14,true,56,2.6,151,160,0.4,86
education/grad-school/law-part-time,2017,Brooklyn Law School,"Brooklyn, NY",16,true,53,2.6,153,159,0.264,284
education/grad-school/law-part-time,2017,Texas A&M University,"Fort Worth, TX",16,true,53,2.2,156,161,0.114,129
education/grad-school/law-part-time,2017,"Rutgers, The State University of New Jersey",,16,true,53,2.5,150,157,0.331,237
education/grad-school/law-part-time,2017,University of NevadaLas Vegas,"Las Vegas, NV",19,true,52,2.5,152,157,0.278,93
education/grad-school/law-part-time,2017,Yeshiva University (Cardozo),"New York, NY",19,true,52,2.7,151,157,0.523,78
education/grad-school/law-part-time,2017,Seattle University,"Seattle, WA",21,false,50,2.5,150,159,0.529,134
education/grad-school/law-part-time,2017,Illinois Institute of Technology (Chicago-Kent),"Chicago, IL",22,true,49,2.6,150,158,0.511,131
education/grad-school/law-part-time,2017,Seton Hall University,"Newark, NJ",22,true,49,2.4,147,157,0.446,156
education/grad-school/law-part-time,2017,New York Law School,"New York, NY",24,true,46,2.2,148,152,0.405,242
education/grad-school/law-part-time,2017,St. Louis University,"St. Louis, MO",24,true,46,2.3,150,154,0.404,69
education/grad-school/law-part-time,2017,The Catholic University of America,"Washington, DC",24,true,46,2.3,151,157,0.467,119
education/grad-school/law-part-time,2017,Suffolk University,"Boston, MA",24,true,46,2.2,147,155,0.57,346
education/grad-school/law-part-time,2017,Stetson University,"Gulfport, FL",24,true,46,2.1,150,157,0.396,133
education/grad-school/law-part-time,2017,DePaul University,"Chicago, IL",29,true,45,2.3,149,153,0.508,141
education/grad-school/law-part-time,2017,University of Baltimore,"Baltimore, MD",29,true,45,2.1,147,154,0.46,247
education/grad-school/law-part-time,2017,University of HawaiiManoa (Richardson),"Honolulu, HI",29,true,45,2.4,151,155,0.404,65
education/grad-school/law-part-time,2017,Santa Clara University,"Santa Clara, CA",32,true,44,2.4,152,164,0.446,121
education/grad-school/law-part-time,2017,Indiana UniversityIndianapolis (McKinney),"Indianapolis, IN",32,true,44,2.5,149,156,0.721,240
education/grad-school/law-part-time,2017,University of the Pacific (McGeorge),"Sacramento, CA",34,true,43,2.0,147,155,0.699,115
education/grad-school/law-part-time,2017,Wayne State University,"Detroit, MI",34,true,43,1.9,153,161,0.406,49
education/grad-school/law-part-time,2017,St. John's University,"Jamaica, NY",36,false,42,2.2,148,157,0.326,114
education/grad-school/law-part-time,2017,Florida International University,"Miami, FL",37,false,41,1.8,148,156,0.223,86
education/grad-school/law-part-time,2017,Chapman University (Fowler),"Orange, CA",38,true,40,1.9,156,159,0.216,26
education/grad-school/law-part-time,2017,Michigan State University,"East Lansing, MI",38,true,40,2.5,144,153,0.545,82
education/grad-school/law-part-time,2017,Mitchell Hamline School of Law,"St. Paul, MN",38,true,40,2.0,145,154,0.604,510
education/grad-school/law-part-time,2017,University of ArkansasLittle Rock (Bowen),"Little Rock, AR",38,true,40,2.1,145,156,0.225,101
education/grad-school/law-part-time,2017,Southwestern Law School,"Los Angeles, CA",38,true,40,1.9,149,154,0.392,258
education/grad-school/law-part-time,2017,University of San Francisco,"San Francisco, CA",43,false,39,2.1,148,155,0.544,99
education/grad-school/law-part-time,2017,Cleveland State University (Cleveland-Marshall),"Cleveland, OH",44,true,38,1.9,151,153,0.433,87
education/grad-school/law-part-time,2017,Duquesne University,"Pittsburgh, PA",44,true,38,1.9,151,157,0.413,88
education/grad-school/law-part-time,2017,University of Toledo,"Toledo, OH",44,true,38,1.9,149,157,0.412,45
education/grad-school/law-part-time,2017,Hofstra University (Deane),"Hempstead, NY",44,true,38,2.1,147,154,0.255,24
education/grad-school/law-part-time,2017,University of MissouriKansas City,"Kansas City, MO",48,true,36,2.3,N/A,N/A,0.452,43
education/grad-school/law-part-time,2017,Quinnipiac University,"Hamden, CT",48,true,36,1.9,149,153,0.458,63
education/grad-school/law-part-time,2017,Loyola University New Orleans,"New Orleans, LA",50,true,33,2.1,142,150,0.676,99
education/grad-school/law-part-time,2017,University of Akron,"Akron, OH",50,true,33,1.8,149,154,0.412,144
education/grad-school/law-part-time,2017,Pace University (Haub),"White Plains, NY",52,true,31,1.9,147,152,0.297,48
education/grad-school/law-part-time,2017,Touro College (Fuchsberg),"Central Islip, NY",52,true,31,1.6,146,150,0.325,156
education/grad-school/law-part-time,2017,Widener University Delaware,"Wilmington, DE",54,false,30,1.7,145,150,0.542,137
education/grad-school/law-part-time,2017,CUNY,"Long Island City, NY",55,true,29,2.2,148,153,0.322,95
education/grad-school/law-part-time,2017,Nova Southeastern University (Broad),"Fort Lauderdale, FL",55,true,29,1.7,144,150,0.375,161
education/grad-school/law-part-time,2017,Golden Gate University,"San Francisco, CA",57,true,28,1.7,144,151,0.588,94
education/grad-school/law-part-time,2017,New England Law Boston,"Boston, MA",57,true,28,1.6,146,154,0.534,185
education/grad-school/law-part-time,2017,Western New England University,"Springfield, MA",57,true,28,1.5,146,151,0.523,95
education/grad-school/law-part-time,2017,Widener University (Commonwealth),"Harrisburg, PA",57,true,28,1.7,145,154,0.634,69
education/grad-school/law-part-time,2017,St. Mary's University,"San Antonio, TX",61,true,27,1.8,145,151,0.517,170
education/grad-school/law-part-time,2017,The John Marshall Law School,"Chicago, IL",61,true,27,1.9,145,151,0.569,267
